Number,Question,Answer,Score
30,Пространство и время как способы бытия материи: 2 концепции.,"Пространство и время — всеобщие формы бытия материи. Пространство характеризует порядок сосуществования объектов, их протяженность и структуру. Время характеризует порядок смены состояний, длительность процессов и необратимость развития.

В философии и науке выделяют две основные концепции их понимания:

1. Субстанциальная концепция. Пространство и время рассматриваются как самостоятельные сущности (субстанции), существующие независимо от материальных объектов и их движения. Материя помещена в них как в «пустой контейнер» или «вместилище». Свойства пространства (трехмерность, евклидовость) и времени (одномерность, равномерный ход, абсолютная одновременность) считаются абсолютными и неизменными. Классическое обоснование дал И. Ньютон в рамках механистической картины мира.

2. Реляционная концепция. Пространство и время не существуют сами по себе, а являются системами отношений между материальными объектами и событиями. Без материи нет ни пространства, ни времени. Их метрические свойства (расстояния, длительности, темп течения времени) не абсолютны, а зависят от распределения массы, энергии и скорости движения материи. Философские основания заложил Г. Лейбниц, а научное подтверждение концепция получила в специальной и общей теории относительности А. Эйнштейна, где пространство и время объединены в единый четырехмерный континуум, искривляемый гравитационными полями.

Современная наука в целом подтверждает правоту реляционной концепции, однако в области квантовой гравитации сохраняется гипотеза о возможной дискретной (квантованной) структуре пространства-времени на фундаментальном (планковском) уровне.",0
31,Возникновение сознания и его социальная природа.,"Возникновение сознания — это результат длительной эволюции, обусловленный единством биологических предпосылок и социальных причин.

Биологические предпосылки включают усложнение нервной системы и развитие высшей нервной деятельности, обеспечивающих способность к активному отражению действительности (переход от раздражимости простейших к психике животных). Однако одной биологии недостаточно для появления человеческого сознания.

Решающую роль сыграла совместная трудовая деятельность, выступившая главным социальным фактором. Труд потребовал:
1. Целеполагания: создания идеального образа будущего результата в сознании до начала практического действия.
2. Координации совместных усилий, что с необходимостью породило потребность в общении и привело к возникновению членораздельной речи. Язык стал материальной оболочкой мысли, позволил фиксировать опыт, абстрагироваться от единичного и формировать общие понятия.

Социальная природа сознания проявляется в следующем:
- Сознание изначально социально по своему происхождению, содержанию и механизмам формирования. Оно возникает только в процессе усвоения индивидом общественно-исторического опыта, культуры и языка.
- Вне общества человеческое сознание не формируется (феномен «детей-маугли» доказывает, что наличия биологического мозга недостаточно без социальной среды).
- Индивидуальное сознание всегда опосредовано общественными отношениями, нормами, традициями и ценностями.

Таким образом, сознание есть не только функция высокоорганизованной материи (мозга), но и высший продукт общественного развития.",0
32,Сознание и язык. Виды и функции языка.,"Сознание и язык находятся в неразрывном диалектическом единстве. Язык выступает «материальной оболочкой мысли» и практическим сознанием (К. Маркс). Сознание не может сформироваться и функционировать без языка, который обеспечивает процессы абстрагирования, обобщения и фиксации результатов познания. Мышление опирается на внутреннюю речь, а внешняя речь служит формой объективации (экстериоризации) мыслей. В свою очередь, язык лишен семантики (смысла) без порождающего и интерпретирующего его сознания.

Виды языка:
1. Естественный — исторически сложившийся в обществе звуковой, графический и жестовый знаковый аппарат (национальные языки). Служит универсальным средством повседневного общения и мышления, отличается многозначностью, гибкостью и эмоциональной окрашенностью.
2. Искусственный — специально сконструированная знаковая система для точной, строгой фиксации и передачи научных, математических или технических знаний. Включает символические языки наук (химические формулы, математические символы), языки формальной логики и языки программирования. Отличается жестким синтаксисом, однозначностью и отсутствием внесмысловой эмоциональности.

Функции языка:
1. Когнитивная (гносеологическая) — язык как инструмент и форма самого мышления, средство получения, структурирования и оформления знания.
2. Коммуникативная — обеспечение обмена информацией, передачи сообщений и полноценного социального взаимодействия.
3. Аккумулятивная (кумулятивная) — накопление, сохранение и трансляция социокультурного и научного опыта от поколения к поколению.
4. Номинативная (сигнификативная) — функция называния предметов, явлений и их свойств, конструирование языковой картины мира.
5. Экспрессивная (эмотивная) — выражение субъективного отношения говорящего, его эмоций, чувств и психологических состояний.
6. Регулятивная (волевая) — способность языка влиять на поведение, мысли и состояние адресата (приказы, убеждение, инструкции).
7. Эстетическая — использование языка для создания художественных образов и эстетического воздействия.",0
33,Сознание и мозг. Сознание и самосознание.,"Мозг является материальным субстратом и физиологической основой сознания. Сознание не локализовано в одном конкретном участке мозга, а представляет собой эмерджентное (системное) свойство высокоорганизованной материи, возникающее в результате сложнейшего динамического взаимодействия нейронов коры больших полушарий, лимбической системы и ретикулярной формации. Мозг обеспечивает процессы приема, переработки, хранения информации и формирования субъективного образа объективного мира. В философии эта связь рассматривается через призму того, что сознание есть функция мозга, но не редуцируется к чисто физиологическим процессам, обладая качественной спецификой (смыслом, ценностью, интенциональностью).

Сознание и самосознание находятся в диалектическом единстве. Сознание изначально предметно и направлено на отражение внешнего мира. Самосознание — это высший уровень развития сознания, его рефлексивная обращенность на самого себя. Это способность субъекта выделять себя из окружающей среды, осознавать свои психические состояния, мотивы, поступки и свое место в системе общественных отношений. Самосознание формируется исключительно в процессе социального взаимодействия (через отношение к «Другому» и усвоение культурных норм). Его структура включает самопознание (формирование Я-концепции), самооценку и саморегуляцию. Без самосознания сознание оставалось бы безличным потоком ощущений, лишенным ответственности, свободы выбора и целеполагания.",0
34,Сознание и искусственный интеллект.,"Искусственный интеллект (ИИ) в философии рассматривается как способность технических систем выполнять функции, традиционно считающиеся прерогативой человеческого разума (обучение, распознавание образов, логический вывод, принятие решений).

Выделяют два концептуальных уровня ИИ:
1. Слабый (узкий) ИИ — системы, имитирующие мыслительные процессы для решения конкретных узких задач. Они не обладают самосознанием, субъективным опытом (квалиа) и подлинным пониманием, действуя строго по заложенным алгоритмам.
2. Сильный ИИ (гипотетический) — гипотетическая система, которая не просто имитирует, а реально обладает сознанием, интенциональностью (направленностью на объект) и способностью к осмысленному пониманию мира.

Ключевые философские проблемы соотношения сознания и ИИ:
- Проблема синтаксиса и семантики: ИИ оперирует формальными символами и правилами их преобразования (синтаксис), но не обладает способностью наделять эти символы реальным смыслом (семантика). Это наглядно демонстрирует мысленный эксперимент Дж. Серла «Китайская комната».
- Проблема субстрата и телесности: человеческое сознание неразрывно связано с биологической природой мозга, телесными ощущениями, эмоционально-волевой сферой и социально-историческим генезисом, которые принципиально невоспроизводимы в формализованных вычислительных системах.
- Критерий разумности: тест Тьюринга является лишь поведенческим критерием, доказывающим внешнее сходство реакций машины и человека, но не подтверждающим наличие у машины внутреннего субъективного мира.

Вывод: на современном этапе ИИ является мощным инструментом расширения когнитивных возможностей человека (интеллектуальное усиление), но не его онтологической заменой. ИИ лишен истинной субъектности, свободы воли, творческой интуиции и социальной природы, составляющих фундамент человеческого сознания.",0
35,Диалектика и метафизика как теории развития и как типы мышления.,"Диалектика и метафизика представляют собой два противоположных подхода к пониманию мира, его развития и способы мышления о нем.

Как теории развития:
1. Диалектика рассматривает мир как целостную, взаимосвязанную и непрерывно развивающуюся систему. Источником развития выступают внутренние противоречия объектов. Развитие понимается как поступательный, спиралевидный процесс, включающий количественные накопления, качественные скачки и преемственность (диалектическое снятие старого в новом).
2. Метафизика (в антидиалектическом смысле) трактует мир как совокупность изолированных, статичных и неизменных объектов. Если изменение и признается, то оно сводится лишь к количественному росту, убыли или простому циклическому повторению, а источник движения ищется исключительно во внешних силах.

Как типы мышления:
1. Диалектическое мышление гибко, конкретно и многогранно. Оно оперирует понятиями в их взаимосвязи и историческом становлении, допускает единство и борьбу противоположностей, видит за внешними явлениями внутреннюю сущность и закономерности.
2. Метафизическое мышление абстрактно, односторонне и ригидно. Оно фиксирует предметы в их обособленности, избегает противоречий (строго следуя формально-логическому закону тождества), отрывает форму от содержания и явление от сущности, что часто ведет к догматизму, эклектике и неспособности объяснить качественные преобразования.",0
36,Категории диалектики.,"Категории диалектики — это наиболее общие, фундаментальные понятия, отражающие универсальные свойства, связи и формы бытия и развития действительности. Они функционируют как парные, взаимодополняющие понятия:

1. Единичное, особенное и общее: отражают соотношение уникальных черт конкретного объекта, признаков, свойственных группе объектов, и закономерностей, присущих всему классу явлений.
2. Причина и следствие: выражают генетическую связь явлений, при которой одно явление (причина) при определенных условиях с необходимостью порождает другое явление (следствие).
3. Необходимость и случайность: необходимость — это то, что с неизбежностью вытекает из внутренней сущности системы; случайность — то, что может произойти, а может и не произойти, обусловленное внешними или второстепенными факторами. Они взаимосвязаны: необходимость пробивает себе путь через множество случайностей.
4. Содержание и форма: содержание — это совокупность всех составных элементов, процессов и свойств объекта; форма — это способ организации и структуры этих элементов. Содержание первично и определяет форму, но форма обладает относительной самостоятельностью и активно влияет на развитие содержания.
5. Сущность и явление: сущность — это внутренняя, устойчивая, фундаментальная основа предмета; явление — это внешнее, чувственно воспринимаемое проявление этой сущности. Сущность глубже явления, но познается исключительно через него.
6. Возможность и действительность: возможность — это тенденция или потенциал развития, заложенный в наличном бытии; действительность — это уже реализовавшаяся, ставшая реальностью возможность. Процесс развития есть постоянное превращение возможности в действительность.

Эти категории служат универсальным методологическим инструментом для анализа любых процессов в природе, обществе и мышлении, позволяя выявлять глубинные закономерности за внешними проявлениями.",0
37,Законы диалектики.,"1. Закон единства и борьбы противоположностей — раскрывает внутренний источник и причину самодвижения. Любой объект представляет собой противоречивое единство взаимоисключающих, но неразрывно связанных сторон. Их взаимодействие и борьба приводят к обострению противоречий и их разрешению через переход системы в новое состояние.

2. Закон взаимного перехода количественных и качественных изменений — описывает механизм развития. Развитие осуществляется скачкообразно: постепенные количественные изменения накапливаются до достижения критического предела (меры), после чего происходит скачок — коренное качественное преобразование объекта и возникновение новой системы с иными свойствами.

3. Закон отрицания отрицания — характеризует направление и форму развития. Процесс развития носит спиралевидный, а не циклический или линейный характер. Новое состояние отрицает старое, но при этом не уничтожает его полностью, а сохраняет и творчески перерабатывает его позитивные элементы (принцип преемственности, или диалектическое «снятие»), обеспечивая поступательный характер прогресса.",0
38,Познание. Объект и субъект познания. Личностное знание.,"Познание — это процесс активного отражения и воспроизведения действительности в сознании человека, результатом которого является получение нового знания. Это специфическая форма взаимодействия субъекта и объекта, направленная на постижение истины.

Субъект познания — носитель познавательной деятельности, обладающий сознанием, волей и способностью к активной творческой деятельности. Им может выступать отдельный индивид, социальная группа, научное сообщество или человечество в целом.

Объект познания — фрагмент действительности (материальный или идеальный), на который направлена познавательная активность субъекта. Это не вся реальность, а лишь та ее часть, которая вовлечена в практическую и теоретическую деятельность на данном историческом этапе.

Личностное (неявное, или тактильное) знание — концепция, разработанная М. Полани. Это знание, которое не может быть полностью формализовано, выражено в знаковых системах или передано другому в готовом виде (в отличие от эксплицитного, объективированного знания). Оно включает интуицию, профессиональные навыки, убеждения и личный опыт, неразрывно связано с индивидуальностью познающего. Его ключевая характеристика выражена формулой Полани: «Мы знаем больше, чем можем сказать». Такое знание играет решающую роль в научных открытиях, творчестве и принятии нестандартных решений, выступая основой для формирования новых формальных теорий.",0
39,"Чувственное познание, его формы и методы.","Чувственное познание — это начальная, непосредственная ступень отражения действительности, осуществляемая с помощью органов чувств. Оно дает знание о внешних, поверхностных свойствах и признаках предметов.

Основные формы чувственного познания:
1. Ощущение — отражение отдельных, единичных свойств и качеств предмета (цвет, звук, запах, твердость), непосредственно воздействующих на органы чувств.
2. Восприятие — целостный, интегральный чувственный образ предмета, складывающийся в результате синтеза отдельных ощущений.
3. Представление — чувственный образ предмета, сохраняемый в памяти и воспроизводимый в сознании в отсутствие непосредственного контакта с самим объектом.

Основные методы чувственного (эмпирического) познания:
1. Наблюдение — целенаправленное, планомерное восприятие объекта в естественных условиях без вмешательства в ход его протекания.
2. Описание — фиксация сведений об объекте с помощью естественного или искусственного языка, схем, графиков.
3. Измерение — определение числового значения величины посредством сравнения ее с эталоном (единицей измерения).
4. Сравнение — установление сходства или различия между объектами по определенным признакам.
5. Эксперимент — активное, контролируемое воздействие на объект, создание специальных условий для изучения его свойств и выявления причинно-следственных связей.",0
40,"Рациональное познание, его формы и методы.","Рациональное познание — это высший, логический этап отражения действительности, направленный на выявление сущности, внутренних связей, причин и фундаментальных закономерностей объектов, которые недоступны непосредственному чувственному восприятию. Оно опирается на язык, знаковые системы и строгие правила логики.

Основные формы рационального познания:
1. Понятие — форма мышления, отражающая общие, существенные и необходимые признаки предметов и явлений, закрепленная в слове или термине.
2. Суждение — форма мышления, утверждающая или отрицающая что-либо о предмете, устанавливающая логическую связь между понятиями.
3. Умозаключение — форма мышления, посредством которой из одного или нескольких исходных суждений (посылок) по строгим правилам логики выводится новое знание (заключение).

Основные методы рационального познания:
1. Анализ — мысленное или реальное расчленение сложного объекта на составные части, элементы или признаки для их раздельного изучения.
2. Синтез — мысленное или реальное объединение ранее выделенных частей в единое целое для выявления системных свойств и закономерностей.
3. Индукция — логический метод движения мысли от частных, единичных фактов к общему выводу или закону.
4. Дедукция — логический метод движения мысли от общих положений, аксиом или законов к частным следствиям и выводам.
5. Абстрагирование — мысленное отвлечение от несущественных, второстепенных свойств объекта для выделения его главных, существенных характеристик и построения идеализированных моделей.
6. Обобщение — мысленное объединение разрозненных предметов или явлений в более широкие классы на основе выявления их общих существенных признаков.
7. Аналогия — вероятностный метод, заключающийся в выводе о сходстве объектов в одних признаках на основании их установленного сходства в других признаках.

Рациональное познание не отменяет чувственное, а надстраивается над ним, перерабатывая эмпирические данные в систему научных теорий и законов.",0
41,Концепции истины. Критерий истины. Виды истины.,"Концепции истины:
1. Классическая (корреспондентская): истина как соответствие знания объективной действительности (Аристотель, Фома Аквинский).
2. Когерентная: истина как логическая согласованность, непротиворечивость и взаимосвязь элементов внутри системы знаний (Г. Лейбниц, неопозитивизм).
3. Конвенциональная: истина как результат соглашения (конвенции) научного сообщества об исходных принципах, аксиомах и терминах (А. Пуанкаре).
4. Прагматическая: истина как то, что полезно, эффективно работает на практике и приносит практический успех или выгоду (Ч. Пирс, У. Джеймс, Дж. Дьюи).

Критерий истины:
Главный, всеобщий и объективный критерий истины — общественно-историческая практика. Она связывает субъективное знание с объективной реальностью, проверяя его в материальной, преобразующей деятельности.
Частные (логико-теоретические) критерии, дополняющие практику: логическая непротиворечивость, простота (бритва Оккама), эвристическая ценность, верифицируемость (принципиальная возможность подтверждения опытом) и фальсифицируемость (принципиальная возможность опровержения, К. Поппер).

Виды истины:
1. Объективная истина — содержание знания, которое не зависит ни от отдельного человека, ни от человечества в целом, отражая реальные свойства и закономерности объекта.
2. Абсолютная истина — полное, исчерпывающее знание об объекте, которое не может быть опровергнуто в будущем. Рассматривается либо как недостижимый идеал, либо как сумма всех относительных истин.
3. Относительная истина — неполное, ограниченное, но верное в своих пределах знание, которое может быть уточнено, углублено или дополнено в ходе дальнейшего развития науки.
4. Конкретная истина — знание, истинное только в определенных условиях, в определенном месте и времени (в философии утверждается, что абстрактной истины не существует, истина всегда конкретна).

Противоположностями истины выступают заблуждение (непреднамеренное, но исправимое несоответствие знания действительности) и ложь (преднамеренное искажение реальности).",0
42,"Научное познание: принципы, структура, уровни.","Научное познание — это целенаправленный процесс получения объективных, систематизированных и обоснованных знаний о действительности, подвергаемых строгой проверке.

Основные принципы научного познания:
1. Объективности — стремление к отражению свойств объекта независимо от субъективных желаний или предубеждений исследователя.
2. Рациональности и доказательности — опора на логику, разум и строгие аргументы при обосновании утверждений.
3. Системности — упорядоченность знания в непротиворечивую целостную систему.
4. Верифицируемости (проверяемости) и фальсифицируемости — принципиальная возможность подтверждения знания опытом или его опровержения (критерий К. Поппера).
5. Детерминизма — признание всеобщей причинной обусловленности явлений и процессов.

Структура научного познания включает четыре обязательных элемента:
1. Субъект познания — индивид или научное сообщество, осуществляющее исследование.
2. Объект познания — фрагмент действительности (материальный или идеальный), на который направлена познавательная активность.
3. Средства познания — материальные (приборы, инструменты) и идеальные (методы, язык, знаковые системы) инструменты исследования.
4. Результат — новое научное знание (факты, законы, теории), зафиксированное в определенной форме.

Уровни научного познания:
1. Эмпирический уровень — направлен на изучение внешних свойств, признаков и связей объектов в их непосредственном проявлении. Основные результаты: научный факт, эмпирическая закономерность. Ведущие методы: наблюдение, измерение, эксперимент, описание, сравнение.
2. Теоретический уровень — направлен на раскрытие внутренних, сущностных связей, причин и фундаментальных законов функционирования и развития объектов. Основные результаты: научная проблема, гипотеза, научная теория. Ведущие методы: идеализация, формализация, аксиоматический метод, гипотетико-дедуктивный метод, моделирование.

Оба уровня взаимосвязаны: эмпирический уровень поставляет фактологическую базу и осуществляет проверку теорий, а теоретический уровень объясняет факты, систематизирует их и задает направление новым эмпирическим исследованиям.",0
43,Методология научного познания. Эмпирические и теоретические методы.,"Методология научного познания — это система принципов, подходов и способов организации исследовательской деятельности, обеспечивающих получение достоверного, систематизированного знания о действительности. Структурно делится на эмпирический и теоретический уровни.

Эмпирические методы направлены на непосредственное взаимодействие с объектом, сбор и первичную фиксацию фактов:
- Наблюдение — целенаправленное, планомерное восприятие объекта в естественных условиях без вмешательства в его протекание.
- Измерение — количественное определение параметров объекта с помощью эталонов и технических средств.
- Эксперимент — активное, контролируемое воспроизведение явления в заданных условиях с целью выявления причинно-следственных зависимостей.
- Сравнение — установление сходства или различия объектов по выбранным параметрам.
- Описание — фиксация данных об объектах с помощью естественного или формализованного языка, схем, графиков.

Теоретические методы оперируют абстрактными понятиями, обрабатывают эмпирические данные и выявляют глубинные, сущностные закономерности:
- Формализация — отображение содержания знания в виде точных символов, формул, логических схем или алгоритмов.
- Аксиоматический метод — построение дедуктивной теории на основе набора исходных, не доказываемых в её рамках положений (аксиом).
- Гипотетико-дедуктивный метод — выдвижение предположения (гипотезы), логический вывод из него следствий и их эмпирическая проверка.
- Идеализация — конструирование мысленных объектов, не существующих в реальности, но отражающих ключевые свойства изучаемых систем (материальная точка, идеальный газ, абсолютно чёрное тело).
- Анализ и синтез — мысленное расчленение целого на элементы и последующее логическое воссоединение их в новую целостность.
- Индукция и дедукция — логические операции перехода от частных фактов к общему выводу и от общих положений к частным следствиям.
- Моделирование — исследование объекта-оригинала через изучение его упрощённой копии (материальной, математической или компьютерной).

Оба уровня неразрывны: эмпирические методы обеспечивают фактологическую базу и верификацию, теоретические — интерпретацию, систематизацию и прогнозирование. Их взаимодополняемость составляет основу методологии современного научного познания.",0
44,Общество как предмет анализа. Основные сферы жизнедеятельности общества.,"Общество как предмет философского анализа — это сложная, динамичная, саморазвивающаяся система, исторически обособившаяся от природы, но тесно с ней связанная. Это совокупность исторически сложившихся форм объединения и взаимодействия людей, обладающая механизмами саморегуляции, воспроизводства и собственными законами развития.

Жизнедеятельность общества структурно охватывает четыре основные взаимосвязанные сферы:
1. Экономическая сфера — охватывает процессы производства, распределения, обмена и потребления материальных благ и услуг. Включает производительные силы, производственные отношения и формы собственности. Является базисом, обеспечивающим материальную основу и физическое выживание общества.
2. Политическая сфера — сфера публичной власти, государственного управления и политического регулирования. Включает государство, право, политические институты и партии. Обеспечивает безопасность, социальный порядок, защиту интересов различных групп и управление обществом.
3. Социальная (социально-демографическая) сфера — охватывает отношения между различными социальными общностями, классами, стратами и нациями. Включает сферу повседневной жизни, демографию, здравоохранение, социальное обеспечение и стратификацию. Обеспечивает воспроизводство населения и условия для жизнедеятельности социальных групп.
4. Духовная сфера — область производства, сохранения, распространения и потребления духовных ценностей. Включает науку, образование, религию, искусство, мораль и философию. Обеспечивает развитие человеческого сознания, формирование мировоззрения, ценностей и культурную преемственность.

Все четыре сферы находятся в тесном взаимодействии и взаимовлиянии: изменения в одной из них неизбежно влекут за собой трансформации в остальных, формируя единый социальный организм.",0
45,Общественное сознание и его формы.,"Общественное сознание — это совокупность идей, теорий, взглядов, чувств, традиций и обычаев, отражающих общественное бытие (материальную жизнь и социально-экономические отношения общества).

Структура по уровню глубины отражения:
1. Общественная психология — стихийно возникающие чувства, настроения, привычки и эмоции масс (эмоционально-бытовой уровень).
2. Общественная идеология — систематизированные, теоретически оформленные идеи и концепции (рационально-теоретический уровень).

Основные формы общественного сознания (относительно самостоятельные сферы духовной жизни):
1. Политическое сознание — отражение отношений к государству, власти, классам и политическим институтам.
2. Правовое сознание — представления о праве, законах, правах и обязанностях, законности.
3. Нравственное сознание — оценки действий с позиций добра и зла, справедливости, долга и совести.
4. Религиозное сознание — вера в сверхъестественное, догматы, культы и ритуалы.
5. Эстетическое сознание — восприятие и оценка мира с точки зрения прекрасного и безобразного, гармонии.
6. Научное сознание — объективное, систематизированное знание о природе, обществе и мышлении.
7. Философское сознание — предельно общие мировоззренческие концепции, охватывающие фундаментальные законы бытия и познания.

По масштабу носителя общественное сознание делится на индивидуальное, групповое (национальное, классовое, корпоративное) и массовое.",0
46,Формационный и цивилизационный подход к развитию общества.,"Формационный подход (К. Маркс) рассматривает исторический процесс как линейное, универсальное и поступательное развитие человечества через последовательную смену пяти общественно-экономических формаций (первобытно-общинная, рабовладельческая, феодальная, капиталистическая, коммунистическая). Базис (экономика, производительные силы и производственные отношения) жестко детерминирует надстройку (политику, право, идеологию). Движущей силой выступают противоречия между производительными силами и производственными отношениями, разрешаемые через социальные революции и классовую борьбу. Главный недостаток: игнорирование духовных факторов, национальных особенностей и жесткий экономический детерминизм.

Цивилизационный подход (Н. Данилевский, О. Шпенглер, А. Тойнби) трактует историю как множественность уникальных, самобытных и локально замкнутых цивилизаций. Единого линейного прогресса для всего человечества не существует. В основе развития лежат не экономические, а духовные, культурные, религиозные и нравственные факторы. Каждая цивилизация подобна живому организму: она рождается, развивается, стареет и погибает, проходя собственный жизненный цикл. Главный недостаток: размывание критериев выделения цивилизаций, недооценка универсальных экономических закономерностей и общечеловеческого прогресса.

В современной науке оба подхода не исключают, а дополняют друг друга: формационный позволяет выявить общие экономические законы развития, а цивилизационный — учесть культурно-историческое своеобразие и духовный потенциал конкретных народов.",0
